image_name,gt_class,pred_class_argmax,pred_class_raw,pred_conf,iou
dangerous_train_000097.jpg,knife,background,knife,0.013883800245821476,0.7143479552867509
dangerous_train_000137.jpg,knife,background,background,0.0,0.0
dangerous_train_000177.jpg,knife,background,knife,0.025038084015250206,0.6111357640585247
dangerous_train_000179.jpg,knife,background,background,0.0,0.0
dangerous_train_000214.jpg,knife,background,knife,0.4244646430015564,0.8416291632509187
dangerous_train_000427.jpg,knife,background,knife,0.16570812463760376,0.5334195704120867
dangerous_train_000448.jpg,knife,background,knife,0.4158346652984619,0.826735032013814
dangerous_train_000453.jpg,knife,background,knife,0.0445614829659462,0.745126392055929
dangerous_train_000470.jpg,knife,background,knife,0.15328706800937653,0.6732954286388471
dangerous_train_000501.jpg,knife,background,knife,0.2842881679534912,0.9175538785674088
dangerous_train_000510.jpg,knife,background,knife,0.08680842816829681,0.7246808182074945
dangerous_train_000662.jpg,knife,background,knife,0.09735506772994995,0.9182706806347121
dangerous_train_000689.jpg,knife,background,knife,0.04439619556069374,0.8141452455548928
dangerous_train_000693.jpg,knife,background,background,0.0,0.0
dangerous_train_000735.jpg,knife,background,knife,0.3566637337207794,0.8157615956167615
dangerous_train_000966.jpg,knife,background,knife,0.033522240817546844,0.6366203216153274
dangerous_train_001146.jpg,knife,background,knife,0.032241035252809525,0.7505026735045645
dangerous_train_001226.jpg,knife,background,knife,0.4213637113571167,0.5899108359763039
dangerous_train_001392.jpg,knife,background,knife,0.08289574831724167,0.6327942195604184
dangerous_train_001442.jpg,knife,background,background,0.0,0.0
dangerous_train_001462.jpg,knife,background,knife,0.4957490861415863,0.8486408981679265
dangerous_train_001568.jpg,knife,background,knife,0.07430332899093628,0.754348157049088
dangerous_train_001706.jpg,knife,background,knife,0.4521782398223877,0.6330329430319678
dangerous_train_001734.jpg,knife,background,knife,0.026521854102611542,0.7168005244355813
dangerous_train_001755.jpg,knife,background,knife,0.021743357181549072,0.5538158088170775
dangerous_train_001760.jpg,knife,background,knife,0.041091423481702805,0.8301186371188842
dangerous_train_002087.jpg,knife,background,knife,0.4942164719104767,0.5867392218033127
dangerous_train_002123.jpg,knife,background,knife,0.013520066626369953,0.7883485523353655
dangerous_train_002124.jpg,knife,background,background,0.0,0.0
dangerous_train_002171.jpg,knife,background,knife,0.20577116310596466,0.7501948606388525
dangerous_train_002197.jpg,knife,background,knife,0.4681633412837982,0.9170859546867833
dangerous_train_002235.jpg,knife,background,knife,0.10779424756765366,0.859709649632445
dangerous_train_002294.jpg,knife,background,knife,0.17603930830955505,0.7216817439393524
dangerous_train_002376.jpg,knife,background,knife,0.013452141545712948,0.6421952478420078
dangerous_train_002517.jpg,knife,background,knife,0.09882906079292297,0.8081405042110871
dangerous_train_002598.jpg,knife,background,knife,0.48021969199180603,0.7940971002303688
dangerous_train_002607.jpg,knife,background,knife,0.14751794934272766,0.6466713410087152
dangerous_train_002613.jpg,knife,background,knife,0.4301317036151886,0.7775761919183622
dangerous_train_002645.jpg,knife,background,knife,0.15698187053203583,0.8003179821346403
dangerous_train_002700.jpg,knife,background,knife,0.047681670635938644,0.6348929343777822
dangerous_train_002881.jpg,knife,background,knife,0.327835351228714,0.5952553620409621
dangerous_train_002975.jpg,knife,background,knife,0.27198582887649536,0.8481278907574966
dangerous_train_002996.jpg,knife,background,knife,0.3006996810436249,0.8841534154300157
dangerous_train_003288.jpg,knife,background,knife,0.48651519417762756,0.9369092722933446
dangerous_train_003347.jpg,knife,background,knife,0.4937356412410736,0.7870273581436346
dangerous_train_003355.jpg,knife,background,knife,0.07265010476112366,0.7671953012309218
dangerous_train_003434.jpg,knife,background,knife,0.46192118525505066,0.6653519920745895
dangerous_train_003598.jpg,knife,background,knife,0.4689539968967438,0.8441409826627395
dangerous_train_003746.jpg,knife,background,knife,0.25645264983177185,0.5855235499552455
dangerous_train_003754.jpg,knife,background,knife,0.030802173539996147,0.72884695296112
dangerous_train_003870.jpg,knife,background,knife,0.49789902567863464,0.6705789708982679
dangerous_train_003910.jpg,knife,background,knife,0.012229853309690952,0.7850593673694614
dangerous_train_004009.jpg,knife,background,knife,0.08464600145816803,0.6750891958429054
dangerous_train_004197.jpg,knife,background,knife,0.017497003078460693,0.6358899000037153
dangerous_train_004233.jpg,knife,background,knife,0.49178701639175415,0.8727506298065237
dangerous_train_004242.jpg,knife,background,knife,0.4885311722755432,0.8278095363612551
dangerous_train_004283.jpg,knife,background,knife,0.020920831710100174,0.6668881206580828
